IID,projection
1262393,-0.08813296182724001
3729799,-0.08812319088722287
3629801,-0.08801243524995186
5871929,-0.08786389000635575
2167566,-0.08784475374024692
4046564,-0.08770450853968466
1894610,-0.08762169344531315
5783156,-0.08755122246784497
5888759,-0.08753941716349485
4468533,-0.08753799165639833
4725692,-0.08745783362911003
5001184,-0.08739531728899372
2678015,-0.08737172974948457
5577415,-0.08731375015694548
4606626,-0.08724358769353188
5107913,-0.08719045621983326
4855731,-0.08698959301799924
2409434,-0.08697500979882562
3134656,-0.08695920025762
1582000,-0.08691727826026362
1718937,-0.08690939737596165
1090652,-0.08686292107988974
4899917,-0.08675707869681108
2907766,-0.08671576459615452
1126192,-0.08671365469430105
4038180,-0.08670805149177022
5350673,-0.08669926626153138
2870193,-0.0866809920948082
4712459,-0.08664870120335581
1869321,-0.08659006716651665
1171410,-0.08653298839143961
5771969,-0.08652657699546774
5253030,-0.08645063847918416
3675938,-0.0864496543365653
1194724,-0.08622805988204253
1453960,-0.08616235602870512
2980632,-0.08611356113833378
4366489,-0.0860863865848496
5754849,-0.08582072243025406
2118356,-0.08581232529224046
2224280,-0.08580038924602909
4222725,-0.08577849614590705
3764515,-0.08570522670603724
2406196,-0.08568658446183064
1621028,-0.08563996827226339
5794496,-0.08557771791645971
2766516,-0.08544575202545085
1459487,-0.08528568644030245
3268833,-0.08522907187835196
4627305,-0.08520304637055393
4589975,-0.08511693578287644
3442600,-0.08494293146404294
5277185,-0.08493077342348429
4225594,-0.08486087355550267
5357536,-0.08480402990914991
1052492,-0.0847738052132728
1819939,-0.08474897053864809
4778369,-0.084662872047991
2897348,-0.08465288105072988
2539475,-0.08453456412875174
4374123,-0.08452370470562161
4944315,-0.08448901844458749
2806677,-0.08447087111837479
5237789,-0.08441089028094767
2911128,-0.08436718377193221
5201134,-0.08436493735755629
5563237,-0.08434928657124707
4565475,-0.08427648029132491
3761647,-0.0842746002575611
4850577,-0.08426134927583673
5092010,-0.08424388726889573
1653434,-0.08423468003460993
3685751,-0.0842103081949911
2160953,-0.08419996699283004
5623262,-0.08417170368092664
5343355,-0.08416356033900019
3908396,-0.08410096707764181
1051478,-0.08404238057069073
2860648,-0.08400072288152476
2498204,-0.0839975261509606
4125855,-0.08395734543812455
5131735,-0.08392112021995127
2622425,-0.08392003327567692
5554767,-0.08380948871279999
4255753,-0.08380880243319865
4519293,-0.08379514744064415
5602653,-0.08378993863511817
1366788,-0.08376709456245111
4613266,-0.08375941974662357
1875200,-0.08363983744267997
3262974,-0.08361862495483643
4269462,-0.08349785068865037
4869185,-0.0834808323151674
3942289,-0.08346287826242237
3574783,-0.08342903722636882
4882838,-0.08342899446492476
3709432,-0.08342434213745581
2690405,-0.08337720380534266
3888061,-0.08336408259560221
1545511,-0.08336319225417117
4530059,-0.08332112607295754
3278660,-0.08330212874812418
5785170,-0.08328393353806202
3695160,-0.08328265797704498
2964261,-0.08319511330805648
4401243,-0.0831481705869092
5970544,-0.08313550149704986
1751602,-0.08311295117955625
3024239,-0.08306881656294582
4405011,-0.08301065822786938
3353584,-0.08297931359795359
4757298,-0.08289042888247568
5444197,-0.08288386432388783
4806739,-0.08286121965453537
2263244,-0.08285900632945348
3813582,-0.08270028272793489
2422576,-0.08268797390286574
3300675,-0.08266638865459722
2994161,-0.08266512116472742
2599229,-0.08263541036551897
3301072,-0.08263208758176237
5228815,-0.08258240904672372
5699319,-0.08255164433421197
1532388,-0.08255150754730065
1154050,-0.08252280229194349
2246156,-0.08251022853487149
5912814,-0.08249966394402887
1178769,-0.0824660978690915
2423274,-0.08245887960181211
2278908,-0.08244668769899324
1067773,-0.08241592542143694
4486955,-0.08240452654967935
1836329,-0.08238467599459423
4965878,-0.08233737976914807
1615234,-0.08230932710327513
2070462,-0.08229972985884584
5605705,-0.0822918249803204
5558543,-0.08227187100684968
4000322,-0.08225723994247117
2396063,-0.0822206027531736
1363486,-0.08219517236218009
5107704,-0.08215593227727856
3641972,-0.08203870067106805
4446274,-0.08193078261519535
2280528,-0.0819080010319293
5605898,-0.08189555266960469
2181873,-0.08185288582221478
5988826,-0.08182507926856046
3831334,-0.0818216190571267
4959367,-0.08179620399666805
5138770,-0.08165900966607173
2940460,-0.08165509103302211
4047264,-0.08160244561506229
4678837,-0.08156626511012445
5013763,-0.08155838591761619
1622879,-0.08154612051596805
1943766,-0.08151138751854256
2039514,-0.08147003068862503
4371285,-0.08143048464413062
3968061,-0.08142366552523615
5855083,-0.0814105192114842
1794444,-0.08135671567055071
4289241,-0.08129448849873458
1822106,-0.08127480971552081
2450378,-0.08125831513292961
1594384,-0.0812214740963447
1822331,-0.08120218974070137
4227919,-0.08119710824159082
2805900,-0.08119179426930108
4329574,-0.08111871098093221
4561274,-0.08109098650546899
1300060,-0.0810633202690218
5711287,-0.08102642716042033
1688475,-0.08101962218101035
3164649,-0.08101192211661458
1711180,-0.0810012773762423
1195320,-0.08099694669336047
4443467,-0.08098932435813525
1232331,-0.08098029087334906
2660708,-0.08095799159530978
3495328,-0.080837484837929
4534036,-0.0808113614442166
3166018,-0.08076966920786491
2519386,-0.080700479140461
2998156,-0.08065275720396263
1649659,-0.0806478378116242
1832703,-0.080616568450114
3424311,-0.08050844323233372
4232003,-0.08050030941208915
1650268,-0.0804997643625038
2444102,-0.08048978471361679
1304345,-0.08048229893252926
4654835,-0.08044961427327622
1141736,-0.08038538587674086
3421596,-0.08030105014796551
3209429,-0.08019932437866736
3241104,-0.08017234565556007
1504524,-0.08016182956078399
5365711,-0.0801257152836879
2958056,-0.08010165543034667
3417868,-0.08009013625719597
4332048,-0.08001343552426159
4280641,-0.0799772884554113
2212029,-0.07989176190614838
